"Name","Year","Life.Expectancy.at.Birth..Both.Sexes","Life.Expectancy.at.Birth..Males","Life.Expectancy.at.Birth..Females","Under.Age.5.Mortality..Both.Sexes","Under.Age.5.Mortality..Males","Under.Age.5.Mortality..Females","Subregion","Region"
"New Zealand",2004,79.3,77.4,81.3,6.8,7,6.6,"Australia/New Zealand","Oceania"
"Nicaragua",2004,70.7,69.1,72.5,31.1,34.4,27.5,"Central America","Americas"
"Niger",2004,49.9,48.8,50.9,179.3,183.6,174.9,"Western Africa","Africa"
"Nigeria",2004,50.5,49,52,162.1,169.8,153.9,"Western Africa","Africa"
"North Macedonia",2004,73.5,71.3,75.8,14.6,15.3,13.8,"Southern Europe","Europe"
"Northern Mariana Islands",2004,73.8,71.9,76.1,18.5,22.1,14.2,"Micronesia","Oceania"
"Norway",2004,79.9,77.6,82.3,4,4.3,3.8,"Northern Europe","Europe"
"Oman",2004,72.5,70.7,74.5,29.1,29.9,28.3,"Western Asia","Asia"
"Pakistan",2004,63.6,62,65.4,106.9,110.2,103.4,"South-Central Asia","Asia"
"Palau",2004,69.6,66.5,72.8,20,21.9,18.1,"Micronesia","Oceania"
"Panama",2004,76.1,73.2,79.2,20.6,22.3,18.8,"Central America","Americas"
"Papua New Guinea",2004,64.7,63.3,66.1,65.3,68.7,61.6,"Melanesia","Oceania"
"Paraguay",2004,74.5,72.1,77,44,50.5,37.3,"South America","Americas"
"Peru",2004,72.5,71.1,74.1,28.8,31.3,26.1,"South America","Americas"
"Philippines",2004,69.8,66.1,73.8,35.3,38.9,31.6,"South-Eastern Asia","Asia"
"Poland",2004,75,71,79.3,7.9,8.6,7.1,"Eastern Europe","Europe"
"Portugal",2004,78,74.8,81.5,5,5.8,4.2,"Southern Europe","Europe"
"Puerto Rico",2004,NA,NA,NA,NA,NA,NA,"Caribbean","Americas"
"Qatar",2004,76.4,74.7,78.2,13.3,15,11.6,"Western Asia","Asia"
